antenna 0	Antenna1	1666.7	800.0	
antenna 1	Antenna1	3333.3	800.0	
antenna 2	Antenna1	1666.7	1600.0	
antenna 3	Antenna1	3333.3	1600.0	
antenna 4	Antenna1	1666.7	2400.0	
antenna 5	Antenna1	3333.3	2400.0	
antenna 6	Antenna1	2500.0	3200.0	
ue     	0	UE1-App1	261.8	348.7	app1
ue     	1	UE1-App1	2036.2	430.8	app1
ue     	2	UE1-App1	4506.0	152.6	app1
ue     	3	UE1-App1	2681.0	1328.8	app1
ue     	4	UE1-App1	4260.4	638.6	app1
ue     	5	UE1-App1	1686.1	1335.2	app1
ue     	6	UE1-App1	1225.8	6.7	app1
ue     	7	UE1-App1	2181.4	350.5	app1
ue     	8	UE1-App1	2988.0	279.5	app1
ue     	9	UE1-App1	1577.3	1793.3	app1
ue     	10	UE1-App1	4527.0	371.1	app1
ue     	11	UE1-App1	710.9	3160.3	app1
ue     	12	UE1-App1	106.2	3644.6	app1
ue     	13	UE1-App1	2867.0	1061.3	app1
ue     	14	UE1-App1	4189.2	3075.2	app1
ue     	15	UE1-App1	1717.3	3206.0	app1
ue     	16	UE1-App1	1034.3	2435.6	app1
ue     	17	UE1-App1	2635.4	3237.4	app1
ue     	18	UE1-App1	1576.3	1593.0	app1
ue     	19	UE1-App1	3846.4	2051.0	app1
ue     	20	UE1-App1	3424.2	2553.4	app1
ue     	21	UE1-App1	3333.3	3560.4	app1
ue     	22	UE1-App1	2430.7	2673.9	app1
ue     	23	UE1-App1	1872.6	127.4	app1
ue     	24	UE1-App1	3770.9	725.9	app1
ue     	25	UE1-App1	4101.0	3654.6	app1
ue     	26	UE1-App1	3290.4	680.5	app1
ue     	27	UE1-App1	1684.6	1564.8	app1
ue     	28	UE1-App1	366.5	1827.1	app1
ue     	29	UE1-App1	2865.8	1344.4	app1
ue     	30	UE2-App2	945.3	352.6	app2
ue     	31	UE2-App2	3141.6	51.3	app2
ue     	32	UE2-App2	1759.6	916.5	app2
ue     	33	UE2-App2	2660.0	2894.7	app2
ue     	34	UE2-App2	4545.8	2555.2	app2
ue     	35	UE2-App2	4959.0	3856.2	app2
ue     	36	UE2-App2	3150.0	933.5	app2
ue     	37	UE2-App2	2419.1	710.4	app2
ue     	38	UE2-App2	4959.8	1778.0	app2
ue     	39	UE2-App2	3758.3	176.5	app2
ue     	40	UE2-App2	673.6	772.7	app2
ue     	41	UE2-App2	1281.8	1408.2	app2
ue     	42	UE2-App2	1359.6	1737.1	app2
ue     	43	UE2-App2	2101.8	434.5	app2
ue     	44	UE2-App2	313.0	1420.2	app2
ue     	45	UE2-App2	443.9	1732.8	app2
ue     	46	UE2-App2	42.8	2143.2	app2
ue     	47	UE2-App2	367.4	2776.8	app2
ue     	48	UE2-App2	2021.0	3941.4	app2
ue     	49	UE2-App2	1312.7	1890.0	app2
