antenna 0	Antenna1	714.3	500.0	
antenna 1	Antenna1	1428.6	500.0	
antenna 2	Antenna1	2142.9	500.0	
antenna 3	Antenna1	2857.1	500.0	
antenna 4	Antenna1	3571.4	500.0	
antenna 5	Antenna1	4285.7	500.0	
antenna 6	Antenna1	714.3	1000.0	
antenna 7	Antenna1	1428.6	1000.0	
antenna 8	Antenna1	2142.9	1000.0	
antenna 9	Antenna1	2857.1	1000.0	
antenna 10	Antenna1	3571.4	1000.0	
antenna 11	Antenna1	4285.7	1000.0	
antenna 12	Antenna1	714.3	1500.0	
antenna 13	Antenna1	1428.6	1500.0	
antenna 14	Antenna1	2142.9	1500.0	
antenna 15	Antenna1	2857.1	1500.0	
antenna 16	Antenna1	3571.4	1500.0	
antenna 17	Antenna1	4285.7	1500.0	
antenna 18	Antenna1	714.3	2000.0	
antenna 19	Antenna1	1428.6	2000.0	
antenna 20	Antenna1	2142.9	2000.0	
antenna 21	Antenna1	2857.1	2000.0	
antenna 22	Antenna1	3571.4	2000.0	
antenna 23	Antenna1	4285.7	2000.0	
antenna 24	Antenna1	714.3	2500.0	
antenna 25	Antenna1	1428.6	2500.0	
antenna 26	Antenna1	2142.9	2500.0	
antenna 27	Antenna1	2857.1	2500.0	
antenna 28	Antenna1	3571.4	2500.0	
antenna 29	Antenna1	4285.7	2500.0	
antenna 30	Antenna1	714.3	3000.0	
antenna 31	Antenna1	1428.6	3000.0	
antenna 32	Antenna1	2142.9	3000.0	
antenna 33	Antenna1	2857.1	3000.0	
antenna 34	Antenna1	3571.4	3000.0	
antenna 35	Antenna1	4285.7	3000.0	
antenna 36	Antenna1	714.3	3500.0	
antenna 37	Antenna1	1428.6	3500.0	
antenna 38	Antenna1	2142.9	3500.0	
antenna 39	Antenna1	2857.1	3500.0	
ue     	0	UE1-App1	261.8	348.7	app1
ue     	1	UE1-App1	2036.2	430.8	app1
ue     	2	UE1-App1	4506.0	152.6	app1
ue     	3	UE1-App1	2681.0	1328.8	app1
ue     	4	UE1-App1	4260.4	638.6	app1
ue     	5	UE1-App1	1686.1	1335.2	app1
ue     	6	UE1-App1	1225.8	6.7	app1
ue     	7	UE1-App1	2181.4	350.5	app1
ue     	8	UE1-App1	2988.0	279.5	app1
ue     	9	UE1-App1	1577.3	1793.3	app1
ue     	10	UE1-App1	4527.0	371.1	app1
ue     	11	UE1-App1	710.9	3160.3	app1
ue     	12	UE1-App1	106.2	3644.6	app1
ue     	13	UE1-App1	2867.0	1061.3	app1
ue     	14	UE1-App1	4189.2	3075.2	app1
ue     	15	UE1-App1	1717.3	3206.0	app1
ue     	16	UE1-App1	1034.3	2435.6	app1
ue     	17	UE1-App1	2635.4	3237.4	app1
ue     	18	UE1-App1	1576.3	1593.0	app1
ue     	19	UE1-App1	3846.4	2051.0	app1
ue     	20	UE1-App1	3424.2	2553.4	app1
ue     	21	UE1-App1	3333.3	3560.4	app1
ue     	22	UE1-App1	2430.7	2673.9	app1
ue     	23	UE1-App1	1872.6	127.4	app1
ue     	24	UE1-App1	3770.9	725.9	app1
ue     	25	UE1-App1	4101.0	3654.6	app1
ue     	26	UE1-App1	3290.4	680.5	app1
ue     	27	UE1-App1	1684.6	1564.8	app1
ue     	28	UE1-App1	366.5	1827.1	app1
ue     	29	UE1-App1	2865.8	1344.4	app1
ue     	30	UE1-App1	945.3	352.6	app1
ue     	31	UE1-App1	3141.6	51.3	app1
ue     	32	UE1-App1	1759.6	916.5	app1
ue     	33	UE1-App1	2660.0	2894.7	app1
ue     	34	UE1-App1	4545.8	2555.2	app1
